epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.9963396787643433,0.017176669090986252,0.001,1.0,0.0
1,1.0,0.0,0.001,1.0,0.0
2,1.0,0.0,0.001,1.0,0.0
3,1.0,0.0,0.001,1.0,0.0
4,1.0,0.0,0.001,1.0,0.0
5,1.0,0.0,0.00020000001,1.0,0.0
6,1.0,0.0,0.00020000001,1.0,0.0
7,1.0,0.0,0.00020000001,1.0,0.0
8,1.0,0.0,0.00020000001,1.0,0.0
9,1.0,0.0,4.0000003e-05,1.0,0.0
10,1.0,0.0,4.0000003e-05,1.0,0.0
11,1.0,0.0,4.0000003e-05,1.0,0.0
12,1.0,0.0,4.0000003e-05,1.0,0.0
13,1.0,0.0,8.000001e-06,1.0,0.0
14,1.0,0.0,8.000001e-06,1.0,0.0
